season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,15,russell,4,1:31.885
2025,1,2025_1,15,leclerc,5,1:31.846
2025,1,2025_1,15,tsunoda,6,1:32.545
2025,1,2025_1,15,albon,7,1:32.733
2025,1,2025_1,15,hamilton,8,1:32.763
2025,1,2025_1,15,gasly,9,1:32.744
2025,1,2025_1,15,alonso,10,1:32.324
2025,1,2025_1,15,stroll,11,1:32.382
2025,1,2025_1,15,antonelli,12,1:32.212
2025,1,2025_1,15,hulkenberg,13,1:33.611
2025,1,2025_1,15,bortoleto,14,1:33.692
2025,1,2025_1,15,ocon,15,1:33.703
2025,1,2025_1,15,lawson,16,1:33.502
2025,1,2025_1,15,bearman,17,1:33.885
2025,1,2025_1,16,norris,1,1:29.952
2025,1,2025_1,16,max_verstappen,2,1:30.592
2025,1,2025_1,16,piastri,3,1:30.722
2025,1,2025_1,16,russell,4,1:31.739
2025,1,2025_1,16,leclerc,5,1:31.832
2025,1,2025_1,16,tsunoda,6,1:32.133
2025,1,2025_1,16,albon,7,1:32.464
2025,1,2025_1,16,hamilton,8,1:32.749
2025,1,2025_1,16,gasly,9,1:32.445
2025,1,2025_1,16,alonso,10,1:32.521
2025,1,2025_1,16,stroll,11,1:32.554
2025,1,2025_1,16,hulkenberg,12,1:33.856
2025,1,2025_1,16,antonelli,13,1:37.326
2025,1,2025_1,16,bortoleto,14,1:34.111
2025,1,2025_1,16,ocon,15,1:33.951
2025,1,2025_1,16,lawson,16,1:33.915
2025,1,2025_1,16,bearman,17,1:33.395
2025,1,2025_1,17,norris,1,1:30.264
2025,1,2025_1,17,piastri,2,1:30.696
2025,1,2025_1,17,max_verstappen,3,1:33.392
2025,1,2025_1,17,russell,4,1:31.597
2025,1,2025_1,17,leclerc,5,1:32.502
2025,1,2025_1,17,tsunoda,6,1:32.645
2025,1,2025_1,17,albon,7,1:33.088
2025,1,2025_1,17,hamilton,8,1:32.830
2025,1,2025_1,17,gasly,9,1:32.795
2025,1,2025_1,17,alonso,10,1:32.966
2025,1,2025_1,17,stroll,11,1:33.388
2025,1,2025_1,17,antonelli,12,1:32.312
2025,1,2025_1,17,hulkenberg,13,1:34.817
2025,1,2025_1,17,bortoleto,14,1:34.756
2025,1,2025_1,17,ocon,15,1:34.737
2025,1,2025_1,17,lawson,16,1:34.575
2025,1,2025_1,17,bearman,17,1:34.527
2025,1,2025_1,18,norris,1,1:30.146
2025,1,2025_1,18,piastri,2,1:30.143
2025,1,2025_1,18,max_verstappen,3,1:32.169
2025,1,2025_1,18,russell,4,1:31.740
2025,1,2025_1,18,leclerc,5,1:32.614
2025,1,2025_1,18,tsunoda,6,1:33.444
2025,1,2025_1,18,albon,7,1:32.981
2025,1,2025_1,18,hamilton,8,1:32.877
2025,1,2025_1,18,gasly,9,1:33.124
2025,1,2025_1,18,alonso,10,1:32.698
2025,1,2025_1,18,stroll,11,1:33.631
2025,1,2025_1,18,antonelli,12,1:32.181
2025,1,2025_1,18,hulkenberg,13,1:33.796
2025,1,2025_1,18,bortoleto,14,1:33.892
2025,1,2025_1,18,ocon,15,1:35.309
2025,1,2025_1,18,lawson,16,1:35.002
2025,1,2025_1,18,bearman,17,1:34.527
2025,1,2025_1,19,norris,1,1:30.551
2025,1,2025_1,19,piastri,2,1:30.816
2025,1,2025_1,19,max_verstappen,3,1:31.939
2025,1,2025_1,19,russell,4,1:32.189
2025,1,2025_1,19,leclerc,5,1:31.861
2025,1,2025_1,19,tsunoda,6,1:33.496
2025,1,2025_1,19,albon,7,1:33.051
